file name,content source,art style,network,fsim,lpips,psnr,ssim,brisque,niqe,piqe
DenseNet_PM2_Pagoda.jpeg,Pagoda.jpeg,PM2,DenseNet,0.562704920768738,0.658052086830139,11.0975303649902,0.223862765963118,70.8125610351563,7.60685073878614,56.4777984619141
GoogleNet_PM2_Pagoda.jpeg,Pagoda.jpeg,PM2,GoogleNet,0.652069807052612,0.64508855342865,10.5925922393799,0.213603609447143,100.855773925781,12.9889748276292,71.3810119628906
ResNet_PM2_Pagoda.jpeg,Pagoda.jpeg,PM2,ResNet,0.712048888206482,0.464523017406464,15.608211517334,0.441024627126613,37.6869506835938,4.58474593653859,47.055290222168
SqueezeNet_PM2_Pagoda.jpeg,Pagoda.jpeg,PM2,SqueezeNet,0.649918675422669,0.581795156002045,12.9285640716553,0.224447366761678,83.5070190429688,13.9948987455639,66.7694778442383
VGG_PM2_Pagoda.jpeg,Pagoda.jpeg,PM2,VGG,0.626631915569305,0.60053688287735,14.1064300537109,0.375791596455612,22.8307495117188,4.14681137658821,35.2881622314453
DenseNet_PM2_RailLandscape.jpeg,RailLandscape.jpeg,PM2,DenseNet,0.713995158672333,0.698762059211731,11.7959260940552,0.363171052618677,69.8449096679688,7.62376790394764,57.823657989502
GoogleNet_PM2_RailLandscape.jpeg,RailLandscape.jpeg,PM2,GoogleNet,0.743346393108368,0.699510455131531,11.9842166900635,0.307343442020663,115.421569824219,10.3152835258241,71.591194152832
ResNet_PM2_RailLandscape.jpeg,RailLandscape.jpeg,PM2,ResNet,0.798624873161316,0.538329124450684,16.475866317749,0.564612620987008,7.10369873046875,4.0888690671557,44.490966796875
SqueezeNet_PM2_RailLandscape.jpeg,RailLandscape.jpeg,PM2,SqueezeNet,0.724309027194977,0.741933763027191,12.6739702224731,0.238088949009924,91.57568359375,14.3076825633761,70.0293502807617
VGG_PM2_RailLandscape.jpeg,RailLandscape.jpeg,PM2,VGG,0.689367771148682,0.774155557155609,13.1954431533813,0.523811673001369,20.5619506835938,3.41550827040525,40.6153106689453
DenseNet_PM3_GBHouse.jpeg,GBHouse.jpeg,PM3,DenseNet,0.652335345745087,0.656927585601807,9.72091293334961,0.272537301776259,84.6337280273438,10.3951332178647,65.6306762695313
GoogleNet_PM3_GBHouse.jpeg,GBHouse.jpeg,PM3,GoogleNet,0.752645075321198,0.515969574451447,9.94248199462891,0.268796077457868,135.589538574219,17.5674247739473,71.7317276000977
ResNet_PM3_GBHouse.jpeg,GBHouse.jpeg,PM3,ResNet,0.805490911006928,0.48325788974762,15.2051725387573,0.454132748875148,23.9871215820313,6.31715222984129,55.3887481689453
SqueezeNet_PM3_GBHouse.jpeg,GBHouse.jpeg,PM3,SqueezeNet,0.691450357437134,0.602139890193939,11.6631126403809,0.195173789542207,93.5977172851563,22.2005917315272,69.0824890136719
VGG_PM3_GBHouse.jpeg,GBHouse.jpeg,PM3,VGG,0.690544068813324,0.61529940366745,13.5008726119995,0.400380757392133,32.9486694335938,6.66065064548925,46.9734420776367
DenseNet_PM3_RedPlane.jpeg,RedPlane.jpeg,PM3,DenseNet,0.646577835083008,0.748581409454346,9.68183326721191,0.297771835158926,83.2371215820313,10.0460277186788,65.659797668457
GoogleNet_PM3_RedPlane.jpeg,RedPlane.jpeg,PM3,GoogleNet,0.723809480667114,0.647947132587433,9.93436527252197,0.250854055909203,110.331237792969,11.8385127433939,69.3853530883789
ResNet_PM3_RedPlane.jpeg,RedPlane.jpeg,PM3,ResNet,0.749791979789734,0.617598652839661,14.3929557800293,0.390223323097522,34.9193725585938,6.1597021248137,57.0593528747559
SqueezeNet_PM3_RedPlane.jpeg,RedPlane.jpeg,PM3,SqueezeNet,0.654859006404877,0.702226102352142,10.7765159606934,0.153977265973942,109.753967285156,23.0341395853394,70.928840637207
VGG_PM3_RedPlane.jpeg,RedPlane.jpeg,PM3,VGG,0.663604617118835,0.7486732006073,12.5867748260498,0.373321934935554,39.6469116210938,6.59939678814706,49.2766304016113
