network,fsim,lpips,psnr,ssim,brisque,niqe,piqe
DenseNet,0.7469820658365885,0.5880402855575084,11.507073565324147,0.40726547596471463,43.146323140462236,6.521101716354921,46.21060196558634
GoogleNet,0.6599775734047095,0.6900403574109077,10.328907712300618,0.16571217102374766,72.7646489461263,15.593535638175808,67.60636852582296
ResNet,0.7659731994072596,0.5413745069255431,11.379408486684163,0.41752718727448584,54.03096059163411,6.900239520935001,52.255448468526204
SqueezeNet,0.7934560254216194,0.5575421455005805,14.707893896102906,0.30730898263383477,72.60496215820312,13.334272917345043,62.76677184104919
VGG,0.8152603169282278,0.5199996788054705,13.85936686595281,0.4893537675025523,72.96802056630453,15.80204760400015,54.20533355077108
